year,ML,Milky Way,exoplanet,gravitational wave,photometric redshift,galaxy classification,star/galaxy,lensing,transient,Sun,total
2010,13,0,0,0,1,0,0,0,1,4,6
2011,10,2,0,0,2,1,0,2,0,2,9
2012,29,3,1,0,3,1,1,2,3,3,17
2013,27,2,0,3,3,0,0,0,5,6,19
2014,40,6,0,1,4,1,1,2,4,7,26
2015,61,9,1,3,7,1,4,2,8,13,48
2016,78,8,4,2,16,3,4,5,7,15,64
2017,81,7,2,6,11,4,3,7,6,16,62
2018,154,22,6,6,13,4,5,12,10,35,113
2019,245,16,11,12,13,4,6,22,18,52,154
2020,322,12,13,21,12,7,5,10,16,84,180
